SoftwareID;Dateipfad;NameOnly;NameOnly (bool);Name;Name (bool);Bib.Ref;Bib.Ref (bool);Bib.Soft;Bib.Soft (bool);Agent;Agent (bool);URL;URL (bool);PID;PID (bool);Ver;Ver (bool);Noname;Noname (bool)
FuD;data/DHd-Abstracts-2016/XML-files/vortraege-001.xml;6;0;10;1;2;1;2;1;2;1;2;1;0;0;0;0;0;0
EXMARaLDA;data/DHd-Abstracts-2016/XML-files/vortraege-044.xml;0;0;2;1;1;1;0;0;1;1;2;1;0;0;0;0;0;0
EXMARaLDA;data/DHd-Abstracts-2016/XML-files/vortraege-053.xml;1;0;3;1;2;1;0;0;2;1;0;0;0;0;0;0;0;0
WebAnno;data/DHd-Abstracts-2016/XML-files/posters-011.xml;1;0;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
ELAN;data/DHd-Abstracts-2016/XML-files/posters-055.xml;1;0;3;1;0;0;1;1;0;0;2;1;0;0;0;0;0;0
WissKI;data/DHd-Abstracts-2016/XML-files/posters-039.xml;5;0;6;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
EXMARaLDA;data/DHd-Abstracts-2016/XML-files/posters-067.xml;3;0;5;1;2;1;0;0;2;1;0;0;0;0;0;0;0;0
WissKI;data/DHd-Abstracts-2016/XML-files/posters-042.xml;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WebLicht;data/DHd-Abstracts-2016/XML-files/posters-059.xml;12;0;14;1;0;0;1;1;0;0;2;1;0;0;0;0;0;0
WissKI;data/DHd-Abstracts-2016/XML-files/vortraege-025.xml;15;0;20;1;2;1;2;1;2;1;3;1;0;0;0;0;0;0
DiaCollo;data/DHd-Abstracts-2016/XML-files/posters-058.xml;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;1
MALLET;data/DHd-Abstracts-2016/XML-files/sektionen-001.xml;0;0;2;1;0;0;2;1;2;1;2;1;0;0;0;0;0;0
EXMARaLDA;data/DHd-Abstracts-2016/XML-files/posters-006.xml;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0
Stylo;data/DHd-Abstracts-2016/XML-files/sektionen-002.xml;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0
TUSTEP;data/DHd-Abstracts-2016/XML-files/sektionen-002.xml;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LAKomp;data/DHd-Abstracts-2016/XML-files/posters-001.xml;8;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATMA;data/DHd-Abstracts-2016/XML-files/vortraege-039.xml;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
OCRopus;data/DHd-Abstracts-2016/XML-files/vortraege-032.xml;11;0;13;1;0;0;2;1;0;0;1;1;0;0;0;0;0;0
SALSAH;data/DHd-Abstracts-2016/XML-files/vortraege-009.xml;0;0;2;1;1;1;0;0;2;1;2;1;0;0;0;0;0;0
LERA;data/DHd-Abstracts-2016/XML-files/vortraege-048.xml;16;0;18;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
TUSTEP;data/DHd-Abstracts-2016/XML-files/vortraege-048.xml;1;0;3;1;0;0;1;1;1;1;2;1;0;0;0;0;0;0
Transkribus;data/DHd-Abstracts-2016/XML-files/workshops-001.xml;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0
